key,number,source,prop.rem.1,prop.rem.2,prop.rem.3,plot,destination,year,replicate,replicate2
6,12591,High-N,0.489,0.489,0.439,2,Control,2009,1,1
7,12258,High-N,0.687,0.687,0.637,2,Control,2009,1,2
8,12295,High-N,0.76,0.76,0.71,2,Control,2009,1,3
9,9387,High-N,0.827,0.827,0.777,2,Control,2009,1,4
80,12352,Low-N,0.429,0.429,0.379,2,Control,2009,1,1
81,9403,Low-N,0.656,0.656,0.606,2,Control,2009,1,2
82,9466,Low-N,0.775,0.775,0.725,2,Control,2009,1,3
83,9481,Low-N,0.884,0.884,0.834,2,Control,2009,1,4
84,12609,Low-N,0.892,0.892,0.842,2,Control,2009,1,5
155,12771,Control,0.607,0.607,0.557,2,Control,2009,1,1
156,12563,Control,0.736,0.736,0.686,2,Control,2009,1,2
157,12114,Control,0.772,0.772,0.722,2,Control,2009,1,3
158,12601,Control,0.776,0.776,0.726,2,Control,2009,1,4
159,12598,Control,0.824,0.824,0.774,2,Control,2009,1,5
229,9371,High-N,0.847393789,0.847393789,0.797,2,Control,2010,1,1
230,9126,High-N,0.85311909,0.85311909,0.803,2,Control,2010,1,2
231,9280,High-N,0.871276087,0.871276087,0.821,2,Control,2010,1,3
232,12831,High-N,0.895890636,0.895890636,0.846,2,Control,2010,1,4
233,12375,High-N,0.912906728,0.912906728,0.863,2,Control,2010,1,5
305,12409,Low-N,0.844520111,0.844520111,0.795,2,Control,2010,1,1
306,12048,Low-N,0.872972164,0.872972164,0.823,2,Control,2010,1,2
307,12807,Low-N,0.883325764,0.883325764,0.833,2,Control,2010,1,3
308,12564,Low-N,0.887330044,0.887330044,0.837,2,Control,2010,1,4
309,9088,Low-N,0.908966629,0.908966629,0.859,2,Control,2010,1,5
381,12630,Control,0.851978491,0.851978491,0.802,2,Control,2010,1,1
382,12388,Control,0.859957513,0.859957513,0.81,2,Control,2010,1,2
383,12760,Control,0.896495566,0.896495566,0.846,2,Control,2010,1,3
384,12131,Control,0.905239748,0.905239748,0.855,2,Control,2010,1,4
385,9078,Control,1.006261728,0.95,0.956,2,Control,2010,1,5
454,12659,High-N,0.660915735,0.660915735,0.611,2,Control,2011,1,1
455,12257,High-N,0.756578435,0.756578435,0.707,2,Control,2011,1,2
456,12119,High-N,0.816009973,0.816009973,0.766,2,Control,2011,1,3
457,12587,High-N,0.909329142,0.909329142,0.859,2,Control,2011,1,4
458,12347,High-N,0.942078191,0.942078191,0.892,2,Control,2011,1,5
529,12721,Low-N,0.81127107,0.81127107,0.761,2,Control,2011,1,1
530,9328,Low-N,0.906375324,0.906375324,0.856,2,Control,2011,1,2
531,9318,Low-N,0.918075631,0.918075631,0.868,2,Control,2011,1,3
532,12071,Low-N,0.923625274,0.923625274,0.874,2,Control,2011,1,4
533,12984,Low-N,0.937269646,0.937269646,0.887,2,Control,2011,1,5
602,12120,Control,0.87773675,0.87773675,0.828,2,Control,2011,1,1
603,12246,Control,0.899317906,0.899317906,0.849,2,Control,2011,1,2
604,12065,Control,0.911059933,0.911059933,0.861,2,Control,2011,1,3
605,9123,Control,0.936102877,0.936102877,0.886,2,Control,2011,1,4
606,12254,Control,0.955935565,0.95,0.906,2,Control,2011,1,5
35,12113,High-N,0.763,0.763,0.713,8,Control,2009,2,1
36,12342,High-N,0.785,0.785,0.735,8,Control,2009,2,2
37,9328,High-N,0.856,0.856,0.806,8,Control,2009,2,3
38,12158,High-N,0.933,0.933,0.883,8,Control,2009,2,4
39,12102,High-N,0.524,0.524,0.474,8,Control,2009,2,5
110,12320,Low-N,0.69,0.69,0.64,8,Control,2009,2,1
111,12323,Low-N,0.732,0.732,0.682,8,Control,2009,2,2
112,9274,Low-N,0.82,0.82,0.77,8,Control,2009,2,3
113,12578,Low-N,0.849,0.849,0.799,8,Control,2009,2,4
114,12838,Low-N,0.936,0.936,0.886,8,Control,2009,2,5
185,9351,Control,0.447,0.447,0.397,8,Control,2009,2,1
186,12322,Control,0.484,0.484,0.434,8,Control,2009,2,2
187,12557,Control,0.901,0.901,0.851,8,Control,2009,2,3
188,9263,Control,0.919,0.919,0.869,8,Control,2009,2,4
189,9150,Control,0.917,0.917,0.867,8,Control,2009,2,5
260,9149,High-N,0.733984361,0.733984361,0.684,8,Control,2010,2,1
261,12759,High-N,0.804038283,0.804038283,0.754,8,Control,2010,2,2
262,12246,High-N,0.811928268,0.811928268,0.762,8,Control,2010,2,3
263,12313,High-N,0.872060163,0.872060163,0.822,8,Control,2010,2,4
264,12298,High-N,0.901982182,0.901982182,0.852,8,Control,2010,2,5
335,12872,Low-N,0.805200244,0.805200244,0.755,8,Control,2010,2,1
336,12400,Low-N,0.810943426,0.810943426,0.761,8,Control,2010,2,2
337,12655,Low-N,0.817641569,0.817641569,0.768,8,Control,2010,2,3
338,9228,Low-N,0.861792668,0.861792668,0.812,8,Control,2010,2,4
339,9305,Low-N,0.927718943,0.927718943,0.878,8,Control,2010,2,5
412,12309,Control,0.867519706,0.867519706,0.818,8,Control,2010,2,1
413,9383,Control,0.910003076,0.910003076,0.86,8,Control,2010,2,2
414,9471,Control,0.919869712,0.919869712,0.87,8,Control,2010,2,3
415,12406,Control,0.937838714,0.937838714,0.888,8,Control,2010,2,4
416,12198,Control,0.958625867,0.95,0.909,8,Control,2010,2,5
485,12286,High-N,0.740302922,0.740302922,0.69,8,Control,2011,2,1
486,12682,High-N,0.794665465,0.794665465,0.745,8,Control,2011,2,2
487,12295,High-N,0.838663811,0.838663811,0.789,8,Control,2011,2,3
488,12100,High-N,0.885890499,0.885890499,0.836,8,Control,2011,2,4
489,12706,High-N,0.942420663,0.942420663,0.892,8,Control,2011,2,5
558,12787,Low-N,0.797231067,0.797231067,0.747,8,Control,2011,2,1
559,12557,Low-N,0.801993859,0.801993859,0.752,8,Control,2011,2,2
560,12090,Low-N,0.862900926,0.862900926,0.813,8,Control,2011,2,3
561,12152,Low-N,0.889647043,0.889647043,0.84,8,Control,2011,2,4
562,12077,Low-N,0.929574799,0.929574799,0.88,8,Control,2011,2,5
633,12046,Control,0.824347103,0.824347103,0.774,8,Control,2011,2,1
634,12811,Control,0.852954272,0.852954272,0.803,8,Control,2011,2,2
635,12187,Control,0.887629117,0.887629117,0.838,8,Control,2011,2,3
636,9124,Control,0.915380255,0.915380255,0.865,8,Control,2011,2,4
637,12351,Control,0.926873034,0.926873034,0.877,8,Control,2011,2,5
40,12681,High-N,0.622,0.622,0.572,9,Control,2009,3,1
41,12648,High-N,0.856,0.856,0.806,9,Control,2009,3,2
42,12537,High-N,0.912,0.912,0.862,9,Control,2009,3,3
43,9399,High-N,0.98,0.95,0.93,9,Control,2009,3,4
44,9344,High-N,0.994,0.95,0.944,9,Control,2009,3,5
115,12501,Low-N,0.659,0.659,0.609,9,Control,2009,3,1
116,12411,Low-N,0.869,0.869,0.819,9,Control,2009,3,2
117,12523,Low-N,0.877,0.877,0.827,9,Control,2009,3,3
118,12189,Low-N,0.903,0.903,0.853,9,Control,2009,3,4
119,9304,Low-N,0.903,0.903,0.853,9,Control,2009,3,5
190,9382,Control,0.701,0.701,0.651,9,Control,2009,3,1
191,12604,Control,0.859,0.859,0.809,9,Control,2009,3,2
192,9366,Control,0.905,0.905,0.855,9,Control,2009,3,3
193,9449,Control,0.924,0.924,0.874,9,Control,2009,3,4
194,9108,Control,1.006,0.95,0.956,9,Control,2009,3,5
265,12248,High-N,0.871439746,0.871439746,0.821,9,Control,2010,3,1
266,12033,High-N,0.872968474,0.872968474,0.823,9,Control,2010,3,2
267,12001,High-N,0.93302454,0.93302454,0.883,9,Control,2010,3,3
268,9248,High-N,0.975636584,0.95,0.926,9,Control,2010,3,4
340,12835,Low-N,0.755428739,0.755428739,0.705,9,Control,2010,3,1
341,12338,Low-N,0.838135626,0.838135626,0.788,9,Control,2010,3,2
342,12083,Low-N,0.888769682,0.888769682,0.839,9,Control,2010,3,3
343,12796,Low-N,0.942957633,0.942957633,0.893,9,Control,2010,3,4
344,12668,Low-N,0.948703633,0.948703633,0.899,9,Control,2010,3,5
417,9277,Control,0.719710895,0.719710895,0.67,9,Control,2010,3,1
418,9146,Control,0.858613705,0.858613705,0.809,9,Control,2010,3,2
419,12259,Control,0.933203503,0.933203503,0.883,9,Control,2010,3,3
420,9235,Control,1.019889439,0.95,0.97,9,Control,2010,3,4
490,12372,High-N,0.726824607,0.726824607,0.677,9,Control,2011,3,1
491,12611,High-N,0.798739034,0.798739034,0.749,9,Control,2011,3,2
492,12185,High-N,0.85089965,0.85089965,0.801,9,Control,2011,3,3
