key,species,plot,treatment,year,N_g.per.kg,N_percent,
1,T_leiostachya,1,high-N,2009,4.2,0.42,
2,T_leiostachya,1,high-N,2009,5.25,0.525,
3,T_leiostachya,2,control,2009,4.9,0.49,
4,T_leiostachya,2,control,2009,4.55,0.455,
5,T_leiostachya,3,high-N,2009,4.55,0.455,
6,T_leiostachya,3,high-N,2009,4.55,0.455,
7,T_leiostachya,4,high-N,2009,4.2,0.42,
8,T_leiostachya,4,high-N,2009,4.55,0.455,
9,T_leiostachya,5,low-N,2009,3.85,0.385,
10,T_leiostachya,5,low-N,2009,4.55,0.455,
11,T_leiostachya,6,low-N,2009,3.5,0.35,
12,T_leiostachya,6,low-N,2009,3.85,0.385,
13,T_leiostachya,7,high-N,2009,4.2,0.42,
14,T_leiostachya,7,high-N,2009,4.9,0.49,
15,T_leiostachya,8,control,2009,4.55,0.455,
16,T_leiostachya,8,control,2009,4.2,0.42,
17,T_leiostachya,9,control,2009,3.85,0.385,
18,T_leiostachya,9,control,2009,3.85,0.385,
19,T_leiostachya,10,high-N,2009,4.55,0.455,
20,T_leiostachya,10,high-N,2009,5.25,0.525,
21,T_leiostachya,11,control,2009,3.5,0.35,
22,T_leiostachya,11,control,2009,3.85,0.385,
23,T_leiostachya,12,low-N,2009,3.85,0.385,
24,T_leiostachya,12,low-N,2009,3.85,0.385,
25,T_leiostachya,13,low-N,2009,3.85,0.385,
26,T_leiostachya,13,low-N,2009,3.15,0.315,
27,T_leiostachya,14,low-N,2009,4.55,0.455,
28,T_leiostachya,14,low-N,2009,3.93,0.393,
29,T_leiostachya,15,control,2009,4.2,0.42,
30,T_leiostachya,15,control,2009,3.85,0.385,
31,T_leiostachya,1,high-N,2010,3.90,0.39000001,
32,T_leiostachya,1,high-N,2010,3.20,0.320000005,
33,T_leiostachya,2,control,2010,3.90,0.39000001,
34,T_leiostachya,2,control,2010,3.50,0.35,
35,T_leiostachya,3,high-N,2010,3.90,0.39000001,
36,T_leiostachya,3,high-N,2010,4.90,0.49000001,
37,T_leiostachya,4,high-N,2010,3.90,0.39000001,
38,T_leiostachya,4,high-N,2010,3.90,0.39000001,
39,T_leiostachya,5,low-N,2010,4.20,0.419999981,
40,T_leiostachya,5,low-N,2010,3.90,0.39000001,
41,T_leiostachya,6,low-N,2010,3.90,0.39000001,
42,T_leiostachya,6,low-N,2010,3.20,0.320000005,
43,T_leiostachya,7,high-N,2010,4.90,0.49000001,
44,T_leiostachya,7,high-N,2010,4.90,0.49000001,
45,T_leiostachya,8,control,2010,3.20,0.320000005,
46,T_leiostachya,8,control,2010,3.50,0.35,
47,T_leiostachya,9,control,2010,3.50,0.35,
48,T_leiostachya,9,control,2010,3.50,0.35,
49,T_leiostachya,10,high-N,2010,3.50,0.35,
50,T_leiostachya,10,high-N,2010,3.50,0.35,
51,T_leiostachya,11,control,2010,3.50,0.35,
52,T_leiostachya,11,control,2010,3.90,0.39000001,
53,T_leiostachya,12,low-N,2010,3.50,0.35,
54,T_leiostachya,12,low-N,2010,3.50,0.35,
55,T_leiostachya,13,low-N,2010,3.90,0.39000001,
56,T_leiostachya,13,low-N,2010,3.20,0.320000005,
57,T_leiostachya,14,low-N,2010,3.50,0.35,
58,T_leiostachya,14,low-N,2010,3.50,0.35,
59,T_leiostachya,15,control,2010,3.90,0.39000001,
60,T_leiostachya,15,control,2010,3.50,0.35,
61,T_leiostachya,1,high-N,2011,3.90,0.39000001,
62,T_leiostachya,1,high-N,2011,4.20,0.419999981,
63,T_leiostachya,2,control,2011,3.90,0.39000001,
64,T_leiostachya,2,control,2011,4.20,0.419999981,
65,T_leiostachya,3,high-N,2011,4.20,0.419999981,
66,T_leiostachya,3,high-N,2011,4.20,0.419999981,
67,T_leiostachya,4,high-N,2011,4.60,0.45999999,
68,T_leiostachya,4,high-N,2011,4.60,0.45999999,
69,T_leiostachya,5,low-N,2011,3.50,0.35,
70,T_leiostachya,5,low-N,2011,3.50,0.35,
71,T_leiostachya,6,low-N,2011,4.60,0.45999999,
72,T_leiostachya,6,low-N,2011,3.50,0.35,
73,T_leiostachya,7,high-N,2011,4.20,0.419999981,
74,T_leiostachya,7,high-N,2011,4.60,0.45999999,
75,T_leiostachya,8,control,2011,4.20,0.419999981,
76,T_leiostachya,8,control,2011,4.20,0.419999981,
77,T_leiostachya,9,control,2011,4.20,0.419999981,
78,T_leiostachya,9,control,2011,4.60,0.45999999,
79,T_leiostachya,10,high-N,2011,4.60,0.45999999,
80,T_leiostachya,10,high-N,2011,4.60,0.45999999,
81,T_leiostachya,11,control,2011,3.50,0.35,
82,T_leiostachya,11,control,2011,3.50,0.35,
83,T_leiostachya,12,low-N,2011,3.50,0.35,
84,T_leiostachya,12,low-N,2011,3.50,0.35,
85,T_leiostachya,13,low-N,2011,3.50,0.35,
86,T_leiostachya,13,low-N,2011,3.50,0.35,
87,T_leiostachya,14,low-N,2011,3.20,0.320000005,
88,T_leiostachya,14,low-N,2011,3.50,0.35,
89,T_leiostachya,15,control,2011,3.50,0.35,
90,T_leiostachya,15,control,2011,3.50,0.35,
